Hour,VMT (Veh-Miles),VHT (Veh-Hours),Q (VMT/VHT),# Lane Points,% Observed
3/6/2023 0:00,"4,730,945.90","71,292.80",66.35937851,430583,55
3/6/2023 1:00,"3,539,705.60","53,661.00",65.96421237,430728,55
3/6/2023 2:00,"3,303,421.80","50,292.40",65.68431413,430476,54.9
3/6/2023 3:00,"4,293,866.20","65,046.60",66.01215436,430728,54.9
3/6/2023 4:00,"7,919,316.80","119,801.60",66.10359795,430728,54.8
3/6/2023 5:00,"14,305,114.10","221,152.50",64.68438792,430728,54.7
3/6/2023 6:00,"19,642,311.80","333,536.50",58.89104131,430728,54.7
3/6/2023 7:00,"23,449,968.60","434,461.00",53.97485298,430728,54.9
3/6/2023 8:00,"22,889,489.10","436,656.70",52.41987378,430728,54.9
3/6/2023 9:00,"20,855,717.40","371,195.20",56.18531005,430728,55
3/6/2023 10:00,"20,385,803.10","350,016.50",58.242406,430728,55
3/6/2023 11:00,"20,795,127.80","350,584.50",59.31559382,430728,55
3/6/2023 12:00,"21,570,046.20","360,747.60",59.79262565,430728,55
3/6/2023 13:00,"22,414,257.40","376,227.90",59.57627651,430728,55
3/6/2023 14:00,"24,273,701.10","418,134.80",58.05233408,430728,55
3/6/2023 15:00,"25,237,757.40","461,938.20",54.63448877,430728,55
3/6/2023 16:00,"25,207,466.90","478,793.20",52.64792169,430728,55
3/6/2023 17:00,"24,489,409.70","465,298.70",52.63158848,430723,54.9
3/6/2023 18:00,"20,372,848.10","358,756.80",56.78735037,430728,54.9
3/6/2023 19:00,"16,213,976.40","259,268.90",62.53729776,430728,54.9
3/6/2023 20:00,"13,194,221.00","204,051.40",64.66126182,430728,55
3/6/2023 21:00,"11,124,482.50","168,593.00",65.98424905,430728,55
3/6/2023 22:00,"8,643,841.90","131,148.00",65.90906381,430728,55
3/6/2023 23:00,"6,162,652.90","93,756.00",65.7307575,430476,55
3/7/2023 0:00,"4,355,838.90","66,104.20",65.89352719,430608,53.6
3/7/2023 1:00,"3,377,001.90","51,720.60",65.29316945,430476,55.4
3/7/2023 2:00,"3,296,908.10","50,510.40",65.27186678,430728,55.3
3/7/2023 3:00,"4,326,075.50","65,644.70",65.90136751,430728,55.2
3/7/2023 4:00,"7,971,581.80","119,600.80",66.65157591,430702,55.2
3/7/2023 5:00,"14,644,589.60","221,292.20",66.17761313,430728,55.1
3/7/2023 6:00,"20,309,752.60","349,395.80",58.12821047,430728,55.1
3/7/2023 7:00,"23,917,392.70","457,901.50",52.23261487,430728,55.3
3/7/2023 8:00,"23,164,586.50","467,741.50",49.52433449,430728,55.3
3/7/2023 9:00,"21,231,321.10","399,115.80",53.19589227,430728,55.2
3/7/2023 10:00,"20,549,156.40","357,913.40",57.41376657,430728,54.2
3/7/2023 11:00,"20,579,040.90","347,073.80",59.29298293,430728,55.2
3/7/2023 12:00,"21,288,402.00","355,671.60",59.85409574,430728,55.1
3/7/2023 13:00,"22,262,297.80","374,714.50",59.41135931,430728,55.1
3/7/2023 14:00,"24,211,757.10","423,902.00",57.11640214,430728,55.1
3/7/2023 15:00,"25,159,672.80","479,022.10",52.52298965,430728,55.1
3/7/2023 16:00,"25,136,445.00","508,383.50",49.44386472,430728,55.1
3/7/2023 17:00,"24,590,850.60","509,090.20",48.30352382,430476,55.1
3/7/2023 18:00,"21,534,851.30","411,420.10",52.34273022,430728,55
3/7/2023 19:00,"17,424,639.20","289,294.90",60.23140816,430728,55.1
3/7/2023 20:00,"14,187,734.60","218,791.10",64.84603167,430728,55.1
3/7/2023 21:00,"11,787,486.80","176,868.90",66.64533335,430728,55.1
3/7/2023 22:00,"9,162,321.00","137,379.50",66.69350958,430655,55.1
